model,batch_size,tpot,total_cycles
deepseekV3,8,860434.827138,1720869.654276
deepseekV3,16,1160502.4260535,2321004.852107
deepseekV3,32,1546407.53944,3092815.07888
deepseekV3,64,1909884.7773245,3819769.554649
deepseekV3,128,2130924.698649,4261849.397298
deepseekV3,256,2461042.695742,4922085.391484
deepseekV3,512,3158577.0343735,6317154.068747
deepseekV3,1024,4573004.7833385,9146009.566677
grok1,8,2313324.9881705,4626649.976341
grok1,16,2407374.9223415,4814749.844683
grok1,32,2645021.7906825,5290043.581365
grok1,64,3074663.2773655,6149326.554731
grok1,128,3978849.242976,7957698.485952
grok1,256,5776526.42032,11553052.84064
grok1,512,10312859.184512,20625718.369024
grok1,1024,19748969.08144,39497938.16288
llama3_405B,8,2345321.396992,4690642.793984
llama3_405B,16,2418544.769984,4837089.539968
llama3_405B,32,2570472.515968,5140945.031936
llama3_405B,64,2922680.507936,5845361.015872
llama3_405B,128,4090336.033504,8180672.067008
llama3_405B,256,6752443.211584,13504886.423168
llama3_405B,512,12253892.399168,24507784.798336
llama3_405B,1024,23035030.774336,46070061.548672
